python_score,java_score,cpp_score,javascript_score,ml_skills,web_dev_score,dsa_score,cloud_score,data_analytics_score,database_score,aptitude_score,communication_score,coding_problems_solved,internships,projects,certifications,hackathons,cgpa,role,company_tier,salary_lpa
50.0,80.7,55.0,63.2,4.5,30.5,49.7,38.4,0.0,92.1,61.6,2.0,191,1,0,2,3,9.4,Backend Developer,Product-Based,15.13
44.3,76.8,44.2,44.7,9.2,78.3,64.8,16.0,39.8,38.0,53.6,1.5,253,2,5,2,1,6.54,Software Developer,Startup,4.02
55.8,9.1,9.7,22.4,95.5,26.0,66.1,53.6,81.3,43.8,33.6,3.5,231,2,3,4,2,6.88,Data Scientist,Service-Based,4.45
66.5,47.7,14.4,53.2,0.0,29.8,31.6,14.6,91.7,34.2,41.9,2.5,222,0,3,3,2,6.87,Data Analyst,Startup,4.44
79.7,43.2,24.4,42.1,10.4,18.4,57.9,84.7,0.0,61.2,43.2,2.5,250,1,0,1,3,7.41,DevOps Engineer,Startup,3.49
71.1,100.0,46.5,50.4,14.4,19.0,80.6,68.5,39.2,58.6,76.2,2.5,565,1,5,3,2,6.91,Backend Developer,Top-Tier,43.75
69.7,3.5,26.2,22.1,33.0,0.0,23.6,30.0,100.0,79.5,61.2,4.0,202,0,7,4,0,7.69,Data Analyst,Service-Based,4.95
70.3,57.1,88.6,58.5,0.0,56.8,47.5,49.2,45.9,45.2,68.3,3.5,525,1,4,2,1,7.81,Software Developer,Product-Based,18.69
76.8,49.7,79.2,31.7,0.0,24.4,17.7,100.0,25.8,52.5,49.7,3.5,338,2,4,1,1,8.08,DevOps Engineer,Service-Based,4.86
44.1,22.8,16.0,4.4,46.4,25.1,49.5,39.0,65.2,53.1,49.1,3.0,620,1,7,3,2,6.94,Data Analyst,Service-Based,5.11
73.0,59.6,49.3,35.4,0.0,46.4,52.5,56.4,8.9,69.0,69.3,3.0,159,3,10,5,3,7.56,Backend Developer,Service-Based,4.65
58.1,90.3,35.7,42.9,24.1,55.6,38.4,49.0,16.5,63.2,73.8,3.0,338,3,8,0,1,8.54,Backend Developer,Service-Based,4.67
60.7,100.0,54.7,33.2,0.0,43.1,29.1,11.6,52.8,83.8,50.7,2.5,517,2,7,2,2,8.08,Software Developer,Service-Based,5.13
100.0,12.7,83.4,0.0,87.3,25.6,60.1,38.8,61.3,36.1,48.4,3.5,244,2,6,4,3,7.22,ML Engineer,Service-Based,4.48
27.8,0.0,3.0,45.9,68.0,7.1,22.7,24.7,90.2,86.8,37.6,3.0,303,1,3,5,3,5.95,Data Analyst,Startup,4.09
90.8,89.2,61.2,56.3,14.8,23.8,61.4,42.8,42.6,72.4,50.1,3.0,289,1,7,4,2,7.69,Backend Developer,Service-Based,4.99
85.8,61.4,43.0,74.5,0.0,73.3,59.6,34.9,12.7,59.1,70.6,3.5,326,0,3,2,3,7.84,Software Developer,Product-Based,18.21
56.8,26.1,30.4,39.0,41.1,42.3,73.8,76.2,40.7,58.3,79.9,2.5,205,0,4,2,2,7.94,DevOps Engineer,Service-Based,5.42
80.3,92.5,63.4,71.6,27.6,37.6,58.7,49.9,30.3,55.2,65.1,3.0,376,0,4,3,2,8.26,Backend Developer,Product-Based,17.9
55.1,40.8,21.9,41.2,0.0,22.4,37.2,99.3,37.8,34.8,26.7,3.5,169,2,5,4,2,8.72,DevOps Engineer,Service-Based,4.94
36.6,35.2,56.8,45.8,7.2,18.8,3.8,100.0,40.9,52.5,48.2,1.5,357,2,5,2,2,7.11,DevOps Engineer,Service-Based,3.79
17.8,38.4,6.5,42.1,21.6,8.1,25.8,70.9,23.9,72.2,27.6,2.5,101,1,1,1,0,8.36,DevOps Engineer,Startup,3.66
74.3,91.7,70.3,38.8,6.7,55.4,55.1,12.9,67.7,54.4,50.0,2.0,243,2,8,2,2,8.96,Software Developer,Service-Based,3.72
